Gender,Age,Height,Weight,BMI,Weight Category,Recommended Supplements,Recommended Exercises,Exercise Instructions,Activity Level
Other,63,184,80,23.6,Normal weight,Vitamin D,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Male,53,162,72,27.4,Overweight,Omega-3,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Other,62,198,91,23.2,Normal weight,Creatine,Cardio,Do HIIT workouts 2-3 times a week.,Lightly active
Other,25,159,74,29.3,Overweight,Creatine,HIIT,Do 30 minutes of cardio daily.,Moderately active
Male,46,193,67,18,Underweight,Omega-3,Pilates,Follow a strength training regimen 3 times a week.,Lightly active
Male,49,196,60,15.6,Underweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Other,61,159,58,22.9,Normal weight,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,35,195,118,31,Obesity,Protein,Cardio,Do HIIT workouts 2-3 times a week.,Very active
Other,23,162,115,43.8,Obesity,Vitamin D,Cardio,Practice yoga 3 times a week for flexibility.,Moderately active
Other,35,186,96,27.7,Overweight,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Other,36,187,81,23.2,Normal weight,Protein,Strength training,Follow a strength training regimen 3 times a week.,Very active
Other,39,173,73,24.4,Normal weight,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Very active
Male,54,151,111,48.7,Obesity,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Other,49,171,59,20.2,Normal weight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Female,58,166,91,33,Obesity,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Male,20,185,90,26.3,Overweight,Multivitamin,HIIT,Do 30 minutes of cardio daily.,Moderately active
Female,45,163,96,36.1,Obesity,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Moderately active
Female,27,159,63,24.9,Obesity,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Sedentary
Female,52,184,65,19.2,Normal weight,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Moderately active
Female,46,174,108,35.7,Obesity,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Male,32,152,81,35.1,Obesity,Vitamin D,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Male,50,196,71,18.5,Normal weight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Female,24,187,99,28.3,Overweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Female,29,166,73,26.5,Overweight,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Moderately active
Male,47,161,64,24.7,Normal weight,Vitamin D,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Male,38,173,69,23.1,Normal weight,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Male,48,178,114,36,Obesity,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Very active
Other,41,192,107,29,Overweight,Creatine,Strength training,Incorporate Pilates exercises into your routine.,Lightly active
Other,37,174,80,26.4,Overweight,Protein,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Other,54,185,46,13.4,Underweight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Female,21,175,66,21.6,Normal weight,Protein,Cardio,Practice yoga 3 times a week for flexibility.,Sedentary
Other,45,187,60,17.2,Underweight,Multivitamin,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
